"A_Farmid","BASIC_Interviewed","BASIC_Type","BASIC_Size_SowsNUM","BASIC_Size_GiltsNUM","BASIC_Size_PigsNUM","BASIC_Size_BoarsNUM","BASIC_Water_0own_1com_2noinfo","BASIC_edulevel","BASIC_ave_exp","BASIC_edumax_NUM","BASIC_no_workers_NUM","BASIC_STRESSLEVEL_verymucherpal_some","BASIC_SOWSREG_NUM","OUT_SOWmortpro","OUT_SOWmortdic","OUT_SOWtotremoproNUM","OUT_SOWtotremdic","OUT_SOWcullproNUM","OUT_SOWculdic","OUT_JOINTproNUM","OUT_ABSproNUM","OUT_PLEURproNUM","OUT_PNEUMproNUM","OUT_LIVERproNUM","OUT_ORGANproNUM","OUT_SHOULDERproNUM","OUT_ALLproNUM","OUT_PARTproNUM","OUT_ANYproNUM","OUT_ALL_01","OUT_PART_01","OUT_ANY_01"
1,2,"piglet",600,150,0,4,1,4,5,5,4,"some",631,5,0,34,0,29,0,2,7,2,2,0,1,4,2,13,19,2,2,2
2,2,"int",37,38,250,1,1,3,15,25,2,"some",37,5,0,38,0,33,0,0,0,0,0,0,0,8,0,0,8,1,1,1
3,2,"int",300,100,300,4,1,2,18,30,3,"much",317,8,0,53,1,45,1,0,5,5,3,2,3,2,2,5,11,2,1,1
4,1,"piglet",550,0,0,6,0,3,11,20,4,"average",504,27,1,57,1,30,0,3,5,4,0,7,3,3,1,7,20,1,1,2
5,2,"piglet",2100,710,0,4,1,5,10,25,6,"much",2043,10,1,65,1,55,1,2,11,29,1,0,0,6,2,15,45,2,2,2
6,1,"int",60,30,130,2,1,3,32,47,2,"some",44,0,0,64,1,64,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2,"int",230,80,450,2,0,5,25,40,3,"some",230,17,1,47,1,30,0,3,14,10,1,1,0,7,7,16,32,2,2,2
8,2,"piglet",200,30,0,NA,1,3,6,13,2,"some",232,13,1,44,0,31,0,4,0,1,0,0,0,0,0,4,4,1,1,1
9,1,"int",100,0,500,2,2,3,6,11,2,"average",94,0,0,24,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2,"piglet",420,30,10,2,1,3,12,12,3,"verymuch",385,6,0,34,0,28,0,1,5,1,1,0,0,8,3,15,18,2,2,1
11,2,"piglet",81,19,32,1,1,3,30,30,2,"verymuch",92,9,0,38,0,29,0,0,4,11,0,0,0,7,0,4,19,1,1,1
12,2,"int",220,20,94,2,1,2,5,10,2,"verymuch",219,5,0,41,0,36,0,3,15,1,1,0,6,3,0,35,35,1,2,2
13,2,"int",750,400,3000,2,0,3,6,8,7,"average",825,10,1,79,1,70,1,4,6,26,1,1,1,7,5,10,44,2,1,2
14,2,"int",53,1,56,1,1,3,28,28,2,"some",51,8,0,35,0,27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,"int",570,100,3000,6,1,3,30,40,4,"some",684,9,0,50,1,42,1,2,4,2,0,0,0,1,1,8,8,1,1,1
16,2,"int",40,20,190,1,0,3,25,20,2,"average",54,4,0,26,0,22,0,0,0,0,0,0,0,0,0,0,0,1,1,1
17,2,"int",150,20,500,1,0,3,40,40,2,"some",143,8,0,48,1,40,1,2,7,14,2,0,0,7,5,16,33,2,2,2
18,2,"piglet",40,11,12,1,0,4,25,40,4,"average",46,2,0,31,0,29,0,0,0,0,0,0,0,0,0,0,0,1,1,1
19,2,"piglet",260,20,20,4,0,3,14,25,3,"verymuch",263,5,0,43,0,38,1,2,4,1,0,0,2,2,1,8,11,1,1,1
20,2,"piglet",105,20,30,1,1,4,20,20,1,"some",114,7,0,45,0,38,1,5,16,0,0,0,0,5,2,28,28,2,2,2
21,1,"int",1000,156,0,6,1,3,10,20,6,"average",1084,8,0,35,0,27,0,1,9,2,1,0,0,3,1,13,15,1,2,1
22,2,"int",140,0,600,2,1,3,30,30,2,"average",142,4,0,34,0,30,0,5,7,14,0,0,0,2,2,7,23,2,1,2
23,2,"piglet",391,73,207,2,0,3,24,40,4,"average",409,5,0,49,1,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,"int",700,250,1120,4,0,5,13,25,6,"much",690,23,1,69,1,45,1,5,9,32,1,0,0,12,1,19,49,1,2,2
25,2,"piglet",270,50,50,3,1,3,19,35,2,"average",262,11,1,45,0,34,0,2,7,1,1,0,0,1,1,11,12,1,1,1
26,3,"piglet",956,30,0,3,1,3,17,33,5,"average",959,14,1,58,1,45,1,3,5,2,1,0,0,2,1,11,12,1,1,1
27,2,"int",84,20,600,1,1,3,33,40,2,"much",91,2,0,43,0,41,1,11,5,0,0,0,0,0,0,16,16,1,2,1
28,1,"piglet",74,0,5,2,1,3,25,30,2,"some",76,17,1,53,1,35,0,13,0,0,0,0,13,7,7,20,33,2,2,2
29,2,"int",155,25,330,2,0,4,25,30,2,"verymuch",157,11,1,60,1,49,1,1,8,36,3,0,0,13,0,9,49,1,1,2
30,3,"piglet",670,170,10,3,1,2,11,20,5,"average",683,19,1,51,1,32,0,2,8,2,0,0,0,1,1,10,11,2,1,1
31,1,"int",600,65,2000,2,0,4,17,30,5,"much",613,7,0,46,1,39,1,3,15,31,2,0,0,23,4,20,55,2,2,2
32,1,"piglet",380,30,40,2,1,4,15,22,1,"some",385,14,1,94,1,80,1,4,7,4,4,7,5,5,2,14,27,2,2,2
33,1,"int",60,2,0,1,0,3,15,15,1,"verymuch",49,10,1,24,0,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,"int",180,0,0,4,1,3,20,30,3,"some",170,15,1,38,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,2,"piglet",1000,0,0,7,0,3,16,30,7,"average",947,17,1,52,1,35,0,2,12,28,2,0,0,9,4,19,47,2,2,2
36,2,"piglet",500,120,214,3,1,4,4,6,3,"much",466,12,1,68,1,56,1,2,4,0,0,0,0,2,0,8,8,1,1,1
37,3,"piglet",800,25,0,4,0,2,14,27,6,"average",793,6,0,45,0,39,1,0,5,1,1,0,0,2,1,9,11,1,1,1
38,2,"int",140,37,810,2,1,3,35,35,2,"much",148,7,0,57,1,50,1,4,9,0,3,0,0,3,0,15,15,1,2,1
39,3,"piglet",1180,100,25,7,0,3,11,20,6,"some",1175,19,1,61,1,42,1,3,15,29,2,0,0,8,3,19,47,2,2,2
40,2,"int",310,40,1800,3,1,3,6,10,6,"much",298,11,1,41,0,35,0,2,10,23,2,0,0,7,2,11,39,2,2,2
42,3,"piglet",830,0,0,4,1,5,15,25,6,"some",805,6,0,44,0,33,0,4,4,1,0,0,0,2,1,11,12,1,1,1
44,1,"piglet",52,15,20,3,0,2,23,23,2,"some",50,14,1,121,1,107,1,0,2,0,2,11,0,8,2,0,19,2,1,1
45,2,"piglet",1102,43,0,7,1,2,3,NA,5,"some",923,16,1,58,1,42,1,5,10,5,1,0,0,4,4,19,24,2,2,2
